code_station,libelle_station,libelle_cours_eau,libelle_commune,code_departement,latitude,longitude,module_m3s,q25_m3s,qmna5_m3s,nb_annees
O341000201,Le Cernon à Sainte-Eulalie-de-Cernon [Source du Cernon] - Station du Cernon,Le Cernon,SAINTE-EULALIE-DE-CERNON,12,43.977776,3.142215,0.1856,0.085,0.057,26
O341000301,Le Cernon à Lapanouse-de-Cernon [Source de la Mouline] - Station de la Mouline,Le Cernon,LAPANOUSE-DE-CERNON,12,43.993755,3.086592,0.4962,0.334,0.249,25
O341000401,Le Cernon à Sainte-Eulalie-de-Cernon [Source de Rauze] - Station de Rauze,Le Cernon,SAINTE-EULALIE-DE-CERNON,12,43.98182,3.125025,,0.052,,
O342403002,Le Cernon à Saint-Georges-de-Luzençon,Le Cernon,SAINT-GEORGES-DE-LUZENCON,12,44.063826,2.984036,1.933,0.837,0.567,14
O343000101,Le Tarn à Comprégnac [Source des Douzes] - Station des Douzes,Le Tarn,COMPREGNAC,12,44.093131,2.980855,0.0592,0.019,0.013,11
O345431001,La Muze à Montjaux [Saint-Hippolyte],La Muze,MONTJAUX,12,44.081683,2.921727,1.2856,0.221,0.049,56
O346000101,Le ruisseau Lévéjac à Saint-Rome-de-Tarn [Source du Taurin] - Station du Taurin,Ruisseau Lévéjac,SAINT-ROME-DE-TARN,12,44.034132,2.917301,0.0818,0.022,0.013,12
O347000101,Le Tarn à Saint-Victor-et-Melvieu [Pinet],Le Tarn,SAINT-VICTOR-ET-MELVIEU,12,44.070217,2.809999,56.1833,17.3,9.567,63
O350000201,Le Dourdou à Brusque [Source de Céras] - Station de Céras,Le Dourdou de Camarès,BRUSQUE,12,43.754131,2.956475,0.0851,0.029,0.014,21
O353401001,Le Dourdou [de Camarès] à Camarès,Le Dourdou de Camarès,CAMARES,12,43.820827,2.880423,5.4815,2.176,0.753,17
O355401101,Le Dourdou [de Camarès] à Vabres-l'Abbaye [Le Moulin],Le Dourdou de Camarès,VABRES-L'ABBAYE,12,43.945608,2.836279,,,,
O356571101,Le Berlières à Fondamente [Source de Berlière] - Station de Berlière,Le Berlières,FONDAMENTE,12,43.869286,3.179313,0.0524,0.034,0.028,12
O356571201,La Fousette à Saint-Beaulize [Source de Fousette] - Station de Fousette,La Fousette,SAINT-BEAULIZE,12,43.905297,3.115323,0.1636,0.074,0.044,22
O356571301,La Lèbre à Cornus [Source de Gloriette] - Station de gloriette,La Lèbre,CORNUS,12,43.9057,3.177797,0.0921,0.041,0.032,26
O356571401,La Sorgues à Cornus [Source de Sorgues] - Station de Sorgues,La Sorgue,CORNUS,12,43.87644,3.190321,0.9962,0.609,0.516,23
O357461001,La Sorgues à Saint-Félix-de-Sorgues,La Sorgue,SAINT-FELIX-DE-SORGUES,12,43.878954,2.989499,3.649,1.323,0.878,18
O357461101,Le ruisseau d'Annou à Saint-Jean-et-Saint-Paul [Source Aiguebelle-Roubiérou] - Source Aiguebelle-Roubiérou,Ruisseau d'Annou,SAINT-JEAN-ET-SAINT-PAUL,12,43.927587,3.062596,0.1249,0.046,0.029,26
O357461201,Le ruisseau d'Annou à Marnhagues-et-Latour [Source de la Chartreuse] - Station de la Chartreuse de nonenque,Ruisseau d'Annou,MARNHAGUES-ET-LATOUR,12,43.911029,3.04113,0.0516,0.017,0.005,13
O357461301,Le ruisseau de Versols à Saint-Jean-et-Saint-Paul [Moulin de Gauty] - Station du Moulin de Gauty,ruisseau le verzolet,SAINT-JEAN-ET-SAINT-PAUL,12,43.929818,2.989776,,,,
O358461003,La Sorgues à Saint-Affrique,La Sorgue,SAINT-AFFRIQUE,12,43.958233,2.884433,4.2926,0.812,,4
